miRNA	Virus	Start	End	Site type	Target Score
hsa-let-7a-3p	MERS-CoV	26550	26555	6mer	87
hsa-let-7b-3p	MERS-CoV	26550	26555	6mer	87
hsa-let-7f-1-3p	MERS-CoV	26550	26555	6mer	87
hsa-miR-98-3p	MERS-CoV	26550	26555	6mer	87
hsa-let-7a-3p	MERS-CoV	27066	27072	7mer-1a	87
hsa-let-7b-3p	MERS-CoV	27066	27072	7mer-1a	87
hsa-let-7f-1-3p	MERS-CoV	27066	27072	7mer-1a	87
hsa-miR-98-3p	MERS-CoV	27066	27072	7mer-1a	87
hsa-let-7a-3p	MERS-CoV	27761	27768	8mer-1a	87
hsa-let-7b-3p	MERS-CoV	27761	27768	8mer-1a	87
hsa-let-7f-1-3p	MERS-CoV	27761	27768	8mer-1a	87
hsa-miR-98-3p	MERS-CoV	27761	27768	8mer-1a	87
hsa-let-7a-3p	MERS-CoV	6028	6034	7mer-1a	87
hsa-let-7b-3p	MERS-CoV	6028	6034	7mer-1a	87
hsa-let-7f-1-3p	MERS-CoV	6028	6034	7mer-1a	87
hsa-miR-98-3p	MERS-CoV	6028	6034	7mer-1a	87
hsa-let-7a-3p	MERS-CoV	6551	6558	8mer-1a	87
hsa-let-7b-3p	MERS-CoV	6551	6558	8mer-1a	87
hsa-let-7f-1-3p	MERS-CoV	6551	6558	8mer-1a	87
hsa-miR-98-3p	MERS-CoV	6551	6558	8mer-1a	87
hsa-let-7a-3p	MERS-CoV	7333	7339	7mer-1a	87
hsa-let-7b-3p	MERS-CoV	7333	7339	7mer-1a	87
hsa-let-7f-1-3p	MERS-CoV	7333	7339	7mer-1a	87
hsa-miR-98-3p	MERS-CoV	7333	7339	7mer-1a	87
hsa-let-7a-3p	MERS-CoV	7999	8005	7mer-1a	87
hsa-let-7b-3p	MERS-CoV	7999	8005	7mer-1a	87
hsa-let-7f-1-3p	MERS-CoV	7999	8005	7mer-1a	87
hsa-miR-98-3p	MERS-CoV	7999	8005	7mer-1a	87
hsa-let-7a-3p	MERS-CoV	9531	9536	6mer	87
hsa-let-7b-3p	MERS-CoV	9531	9536	6mer	87
hsa-let-7f-1-3p	MERS-CoV	9531	9536	6mer	87
hsa-miR-98-3p	MERS-CoV	9531	9536	6mer	87
hsa-let-7c-3p	MERS-CoV	11334	11341	8mer-1a	73
hsa-let-7c-3p	MERS-CoV	11391	11397	7mer-m8	73
hsa-let-7c-3p	MERS-CoV	15224	15231	8mer-1a	73
hsa-let-7c-3p	MERS-CoV	2061	2067	7mer-m8	73
hsa-let-7c-3p	MERS-CoV	22174	22179	6mer	73
hsa-let-7c-3p	MERS-CoV	2332	2337	6mer	73
hsa-let-7c-3p	MERS-CoV	25918	25924	7mer-m8	73
hsa-let-7c-3p	MERS-CoV	27103	27108	6mer	73
hsa-let-7e-3p	MERS-CoV	16854	16860	7mer-1a	58
hsa-let-7e-3p	MERS-CoV	18494	18499	6mer	58
hsa-let-7e-3p	MERS-CoV	2004	2011	8mer-1a	58
hsa-let-7e-3p	MERS-CoV	21809	21815	7mer-m8	58
hsa-let-7e-3p	MERS-CoV	22397	22402	6mer	58
hsa-let-7e-3p	MERS-CoV	24292	24297	6mer	58
hsa-let-7e-3p	MERS-CoV	25903	25909	7mer-m8	58
hsa-let-7f-2-3p	MERS-CoV	10833	10839	7mer-m8	90
hsa-let-7f-2-3p	MERS-CoV	11790	11796	7mer-1a	90
hsa-let-7f-2-3p	MERS-CoV	12274	12280	7mer-1a	90
hsa-let-7f-2-3p	MERS-CoV	12405	12410	6mer	90
hsa-let-7f-2-3p	MERS-CoV	13795	13800	6mer	90
hsa-let-7f-2-3p	MERS-CoV	16082	16089	8mer-1a	90
hsa-let-7f-2-3p	MERS-CoV	20097	20103	7mer-1a	90
hsa-let-7f-2-3p	MERS-CoV	24945	24950	6mer	90
hsa-let-7f-2-3p	MERS-CoV	26550	26555	6mer	90
hsa-let-7f-2-3p	MERS-CoV	27065	27072	8mer-1a	90
hsa-let-7f-2-3p	MERS-CoV	27762	27768	7mer-1a	90
hsa-let-7f-2-3p	MERS-CoV	6028	6034	7mer-1a	90
hsa-let-7f-2-3p	MERS-CoV	6552	6558	7mer-1a	90
hsa-let-7f-2-3p	MERS-CoV	7333	7339	7mer-1a	90
hsa-let-7f-2-3p	MERS-CoV	7998	8005	8mer-1a	90
hsa-let-7f-2-3p	MERS-CoV	9531	9536	6mer	90
hsa-let-7i-3p	MERS-CoV	10967	10972	6mer	73
hsa-let-7i-3p	MERS-CoV	11263	11268	6mer	73
hsa-let-7i-3p	MERS-CoV	12113	12118	6mer	73
hsa-let-7i-3p	MERS-CoV	13223	13228	6mer	73
hsa-let-7i-3p	MERS-CoV	26444	26451	8mer-1a	73
hsa-let-7i-3p	MERS-CoV	26484	26490	7mer-1a	73
hsa-let-7i-3p	MERS-CoV	28778	28784	7mer-1a	73
hsa-let-7i-3p	MERS-CoV	3394	3400	7mer-m8	73
hsa-let-7i-3p	MERS-CoV	7020	7026	7mer-1a	73
hsa-let-7i-3p	MERS-CoV	712	718	7mer-1a	73
hsa-miR-1-3p	MERS-CoV	15016	15021	6mer	80
hsa-miR-206	MERS-CoV	15016	15021	6mer	80
hsa-miR-1-3p	MERS-CoV	17206	17211	6mer	80
hsa-miR-206	MERS-CoV	17206	17211	6mer	80
hsa-miR-1-3p	MERS-CoV	1722	1727	6mer	80
hsa-miR-206	MERS-CoV	1722	1727	6mer	80
hsa-miR-1-3p	MERS-CoV	18686	18691	6mer	80
hsa-miR-206	MERS-CoV	18686	18691	6mer	80
hsa-miR-1-3p	MERS-CoV	19293	19298	6mer	80
hsa-miR-206	MERS-CoV	19293	19298	6mer	80
hsa-miR-1-3p	MERS-CoV	22340	22345	6mer	80
hsa-miR-206	MERS-CoV	22340	22345	6mer	80
hsa-miR-1-3p	MERS-CoV	26937	26943	7mer-m8	80
hsa-miR-206	MERS-CoV	26937	26943	7mer-m8	80
hsa-miR-1-3p	MERS-CoV	26986	26991	6mer	80
hsa-miR-206	MERS-CoV	26986	26991	6mer	80
hsa-miR-1-3p	MERS-CoV	27204	27211	8mer-1a	80
hsa-miR-206	MERS-CoV	27204	27211	8mer-1a	80
hsa-miR-1-3p	MERS-CoV	28900	28905	6mer	80
hsa-miR-206	MERS-CoV	28900	28905	6mer	80
hsa-miR-1-3p	MERS-CoV	4102	4109	8mer-1a	80
hsa-miR-206	MERS-CoV	4102	4109	8mer-1a	80
hsa-miR-1-3p	MERS-CoV	4850	4855	6mer	80
hsa-miR-206	MERS-CoV	4850	4855	6mer	80
hsa-miR-1-3p	MERS-CoV	7306	7313	8mer-1a	80
hsa-miR-206	MERS-CoV	7306	7313	8mer-1a	80
hsa-miR-1-3p	MERS-CoV	748	754	7mer-1a	80
hsa-miR-206	MERS-CoV	748	754	7mer-1a	80
hsa-miR-1-3p	MERS-CoV	8825	8831	7mer-1a	80
hsa-miR-206	MERS-CoV	8825	8831	7mer-1a	80
hsa-miR-1-5p	MERS-CoV	11298	11303	6mer	87
hsa-miR-1-5p	MERS-CoV	13853	13859	7mer-m8	87
hsa-miR-1-5p	MERS-CoV	14226	14232	7mer-1a	87
hsa-miR-1-5p	MERS-CoV	17336	17341	6mer	87
hsa-miR-1-5p	MERS-CoV	17521	17527	7mer-m8	87
hsa-miR-1-5p	MERS-CoV	1930	1935	6mer	87
hsa-miR-1-5p	MERS-CoV	19364	19370	7mer-1a	87
hsa-miR-1-5p	MERS-CoV	20234	20240	7mer-m8	87
hsa-miR-1-5p	MERS-CoV	22806	22812	7mer-1a	87
hsa-miR-1-5p	MERS-CoV	23923	23928	6mer	87
hsa-miR-1-5p	MERS-CoV	25062	25068	7mer-m8	87
hsa-miR-1-5p	MERS-CoV	27652	27657	6mer	87
hsa-miR-1-5p	MERS-CoV	27956	27961	6mer	87
hsa-miR-1-5p	MERS-CoV	27976	27982	7mer-1a	87
hsa-miR-1-5p	MERS-CoV	6761	6767	7mer-m8	87
hsa-miR-1-5p	MERS-CoV	717	723	7mer-m8	87
hsa-miR-1-5p	MERS-CoV	8167	8172	6mer	87
hsa-miR-1-5p	MERS-CoV	9199	9204	6mer	87
hsa-miR-100-3p	MERS-CoV	10643	10648	6mer	54
hsa-miR-100-3p	MERS-CoV	19417	19422	6mer	54
hsa-miR-100-3p	MERS-CoV	20456	20463	8mer-1a	54
hsa-miR-100-3p	MERS-CoV	20679	20684	6mer	54
hsa-miR-100-3p	MERS-CoV	22378	22384	7mer-m8	54
hsa-miR-100-3p	MERS-CoV	23214	23221	8mer-1a	54
hsa-miR-100-3p	MERS-CoV	24709	24714	6mer	54
hsa-miR-100-3p	MERS-CoV	25309	25314	6mer	54
hsa-miR-100-3p	MERS-CoV	29458	29463	6mer	54
hsa-miR-100-3p	MERS-CoV	4807	4812	6mer	54
hsa-miR-100-3p	MERS-CoV	5335	5341	7mer-m8	54
hsa-miR-100-3p	MERS-CoV	9495	9500	6mer	54
hsa-miR-107	MERS-CoV	11801	11806	6mer	71
hsa-miR-107	MERS-CoV	12968	12973	6mer	71
hsa-miR-107	MERS-CoV	14751	14757	7mer-m8	71
hsa-miR-107	MERS-CoV	16291	16297	7mer-m8	71
hsa-miR-107	MERS-CoV	16606	16611	6mer	71
hsa-miR-107	MERS-CoV	18409	18415	7mer-1a	71
hsa-miR-107	MERS-CoV	18955	18960	6mer	71
hsa-miR-107	MERS-CoV	24356	24361	6mer	71
hsa-miR-107	MERS-CoV	25410	25416	7mer-1a	71
hsa-miR-107	MERS-CoV	26481	26486	6mer	71
hsa-miR-107	MERS-CoV	28577	28583	7mer-1a	71
hsa-miR-107	MERS-CoV	2885	2890	6mer	71
hsa-miR-107	MERS-CoV	29290	29296	7mer-m8	71
hsa-miR-107	MERS-CoV	29294	29299	6mer	71
hsa-miR-107	MERS-CoV	29297	29302	6mer	71
hsa-miR-107	MERS-CoV	3296	3302	7mer-1a	71
hsa-miR-107	MERS-CoV	3709	3715	7mer-m8	71
hsa-miR-107	MERS-CoV	5452	5457	6mer	71
hsa-miR-107	MERS-CoV	6746	6751	6mer	71
hsa-miR-107	MERS-CoV	8345	8351	7mer-1a	71
hsa-miR-107	MERS-CoV	9479	9484	6mer	71
hsa-miR-103a-2-5p	MERS-CoV	11411	11416	6mer	71
hsa-miR-103a-2-5p	MERS-CoV	12351	12357	7mer-m8	71
hsa-miR-103a-2-5p	MERS-CoV	13662	13668	7mer-1a	71
hsa-miR-103a-2-5p	MERS-CoV	20330	20337	8mer-1a	71
hsa-miR-103a-2-5p	MERS-CoV	2264	2270	7mer-1a	71
hsa-miR-103a-2-5p	MERS-CoV	2583	2590	8mer-1a	71
hsa-miR-103a-2-5p	MERS-CoV	3358	3365	8mer-1a	71
hsa-miR-103a-2-5p	MERS-CoV	4453	4459	7mer-m8	71
hsa-miR-103b	MERS-CoV	11744	11750	7mer-m8	80
hsa-miR-103b	MERS-CoV	11805	11810	6mer	80
hsa-miR-103b	MERS-CoV	12135	12140	6mer	80
hsa-miR-103b	MERS-CoV	12260	12267	8mer-1a	80
hsa-miR-103b	MERS-CoV	12321	12326	6mer	80
hsa-miR-103b	MERS-CoV	14363	14369	7mer-1a	80
hsa-miR-103b	MERS-CoV	15284	15289	6mer	80
hsa-miR-103b	MERS-CoV	16129	16134	6mer	80
hsa-miR-103b	MERS-CoV	16296	16302	7mer-1a	80
hsa-miR-103b	MERS-CoV	17232	17238	7mer-1a	80
hsa-miR-103b	MERS-CoV	21269	21274	6mer	80
hsa-miR-103b	MERS-CoV	24474	24479	6mer	80
hsa-miR-103b	MERS-CoV	26951	26957	7mer-m8	80
hsa-miR-103b	MERS-CoV	28114	28120	7mer-1a	80
hsa-miR-103b	MERS-CoV	29947	29952	6mer	80
hsa-miR-103b	MERS-CoV	3685	3690	6mer	80
hsa-miR-103b	MERS-CoV	3941	3948	8mer-1a	80
hsa-miR-103b	MERS-CoV	9888	9893	6mer	80
hsa-miR-105-5p	MERS-CoV	10554	10561	8mer-1a	63
hsa-miR-105-5p	MERS-CoV	13508	13515	8mer-1a	63
hsa-miR-105-5p	MERS-CoV	14427	14432	6mer	63
hsa-miR-105-5p	MERS-CoV	17688	17693	6mer	63
hsa-miR-105-5p	MERS-CoV	18975	18981	7mer-1a	63
hsa-miR-105-5p	MERS-CoV	19690	19695	6mer	63
hsa-miR-105-5p	MERS-CoV	19807	19812	6mer	63
hsa-miR-105-5p	MERS-CoV	24367	24372	6mer	63
hsa-miR-105-5p	MERS-CoV	25349	25354	6mer	63
hsa-miR-105-5p	MERS-CoV	28217	28222	6mer	63
hsa-miR-105-5p	MERS-CoV	4669	4675	7mer-1a	63
hsa-miR-105-5p	MERS-CoV	5197	5202	6mer	63
hsa-miR-105-5p	MERS-CoV	7149	7156	8mer-1a	63
hsa-miR-105-5p	MERS-CoV	8332	8338	7mer-m8	63
hsa-miR-106a-3p	MERS-CoV	11223	11228	6mer	51
hsa-miR-106a-3p	MERS-CoV	12983	12989	7mer-1a	51
hsa-miR-106a-3p	MERS-CoV	1468	1474	7mer-1a	51
hsa-miR-106a-3p	MERS-CoV	22672	22678	7mer-1a	51
hsa-miR-106a-3p	MERS-CoV	23311	23316	6mer	51
hsa-miR-106a-3p	MERS-CoV	24187	24192	6mer	51
hsa-miR-106a-3p	MERS-CoV	25967	25973	7mer-m8	51
hsa-miR-106a-3p	MERS-CoV	26653	26658	6mer	51
hsa-miR-106a-3p	MERS-CoV	30008	30014	7mer-1a	51
hsa-miR-106a-3p	MERS-CoV	5191	5196	6mer	51
hsa-miR-106a-3p	MERS-CoV	6407	6412	6mer	51
hsa-miR-106a-3p	MERS-CoV	7216	7222	7mer-m8	51
hsa-miR-106a-3p	MERS-CoV	8390	8396	7mer-m8	51
hsa-miR-10b-3p	MERS-CoV	24722	24728	7mer-1a	80
hsa-miR-10b-3p	MERS-CoV	26068	26073	6mer	80
hsa-miR-10b-3p	MERS-CoV	28546	28551	6mer	80
hsa-miR-1178-5p	MERS-CoV	10985	10990	6mer	75
hsa-miR-1178-5p	MERS-CoV	13304	13310	7mer-m8	75
hsa-miR-1178-5p	MERS-CoV	15908	15913	6mer	75
hsa-miR-1178-5p	MERS-CoV	19027	19033	7mer-m8	75
hsa-miR-1178-5p	MERS-CoV	3602	3608	7mer-m8	75
hsa-miR-1178-5p	MERS-CoV	6002	6009	8mer-1a	75
hsa-miR-1178-5p	MERS-CoV	6351	6357	7mer-1a	75
hsa-miR-1182	MERS-CoV	10985	10990	6mer	62
hsa-miR-1182	MERS-CoV	13305	13310	6mer	62
hsa-miR-1182	MERS-CoV	15907	15913	7mer-m8	62
hsa-miR-1182	MERS-CoV	19028	19033	6mer	62
hsa-miR-1182	MERS-CoV	3603	3608	6mer	62
hsa-miR-1182	MERS-CoV	6003	6009	7mer-1a	62
hsa-miR-1182	MERS-CoV	6350	6357	8mer-1a	62
hsa-miR-1183	MERS-CoV	11474	11479	6mer	59
hsa-miR-1183	MERS-CoV	12533	12538	6mer	59
hsa-miR-1183	MERS-CoV	16065	16071	7mer-1a	59
hsa-miR-1183	MERS-CoV	1927	1933	7mer-1a	59
hsa-miR-1183	MERS-CoV	23174	23179	6mer	59
hsa-miR-1183	MERS-CoV	27247	27252	6mer	59
hsa-miR-1183	MERS-CoV	27952	27959	8mer-1a	59
hsa-miR-1183	MERS-CoV	29556	29561	6mer	59
hsa-miR-1183	MERS-CoV	29908	29913	6mer	59
hsa-miR-1183	MERS-CoV	30041	30047	7mer-m8	59
hsa-miR-1183	MERS-CoV	4256	4261	6mer	59
hsa-miR-1183	MERS-CoV	5670	5676	7mer-1a	59
hsa-miR-1183	MERS-CoV	7667	7672	6mer	59
hsa-miR-1183	MERS-CoV	9060	9065	6mer	59
hsa-miR-1183	MERS-CoV	9662	9667	6mer	59
hsa-miR-1185-5p	MERS-CoV	13054	13060	7mer-1a	72
hsa-miR-1185-5p	MERS-CoV	21199	21205	7mer-1a	72
hsa-miR-1185-5p	MERS-CoV	24346	24352	7mer-m8	72
hsa-miR-1185-5p	MERS-CoV	25594	25600	7mer-1a	72
hsa-miR-1185-5p	MERS-CoV	27145	27152	8mer-1a	72
hsa-miR-1185-5p	MERS-CoV	3954	3960	7mer-m8	72
hsa-miR-1200	MERS-CoV	12128	12134	7mer-1a	54
hsa-miR-1200	MERS-CoV	14096	14101	6mer	54
hsa-miR-1200	MERS-CoV	21772	21778	7mer-m8	54
hsa-miR-1200	MERS-CoV	23827	23833	7mer-m8	54
hsa-miR-1200	MERS-CoV	24521	24526	6mer	54
hsa-miR-1200	MERS-CoV	29139	29145	7mer-1a	54
hsa-miR-1200	MERS-CoV	390	396	7mer-1a	54
hsa-miR-1202	MERS-CoV	1396	1401	6mer	52
hsa-miR-3972	MERS-CoV	1396	1401	6mer	52
hsa-miR-1202	MERS-CoV	14646	14652	7mer-1a	52
hsa-miR-3972	MERS-CoV	14646	14652	7mer-1a	52
hsa-miR-1202	MERS-CoV	16712	16719	8mer-1a	52
hsa-miR-3972	MERS-CoV	16712	16719	8mer-1a	52
hsa-miR-1202	MERS-CoV	17058	17063	6mer	52
hsa-miR-3972	MERS-CoV	17058	17063	6mer	52
hsa-miR-1202	MERS-CoV	17064	17070	7mer-1a	52
hsa-miR-3972	MERS-CoV	17064	17070	7mer-1a	52
hsa-miR-1202	MERS-CoV	21835	21840	6mer	52
hsa-miR-3972	MERS-CoV	21835	21840	6mer	52
hsa-miR-1202	MERS-CoV	22044	22051	8mer-1a	52
hsa-miR-3972	MERS-CoV	22044	22051	8mer-1a	52
hsa-miR-1202	MERS-CoV	22624	22629	6mer	52
hsa-miR-3972	MERS-CoV	22624	22629	6mer	52
hsa-miR-1202	MERS-CoV	24097	24102	6mer	52
hsa-miR-3972	MERS-CoV	24097	24102	6mer	52
hsa-miR-1202	MERS-CoV	28091	28096	6mer	52
hsa-miR-3972	MERS-CoV	28091	28096	6mer	52
hsa-miR-1202	MERS-CoV	28303	28309	7mer-m8	52
hsa-miR-3972	MERS-CoV	28303	28309	7mer-m8	52
hsa-miR-1202	MERS-CoV	29245	29251	7mer-1a	52
hsa-miR-3972	MERS-CoV	29245	29251	7mer-1a	52
hsa-miR-1202	MERS-CoV	5602	5607	6mer	52
hsa-miR-3972	MERS-CoV	5602	5607	6mer	52
hsa-miR-1208	MERS-CoV	10340	10347	8mer-1a	54
hsa-miR-1208	MERS-CoV	18735	18741	7mer-m8	54
hsa-miR-1208	MERS-CoV	20860	20865	6mer	54
hsa-miR-1208	MERS-CoV	29557	29562	6mer	54
hsa-miR-1208	MERS-CoV	29909	29914	6mer	54
hsa-miR-1208	MERS-CoV	30018	30024	7mer-m8	54
hsa-miR-1208	MERS-CoV	30043	30048	6mer	54
hsa-miR-1208	MERS-CoV	6733	6739	7mer-m8	54
hsa-miR-1226-3p	MERS-CoV	10127	10132	6mer	51
hsa-miR-1226-3p	MERS-CoV	110	115	6mer	51
hsa-miR-1226-3p	MERS-CoV	12145	12151	7mer-1a	51
hsa-miR-1226-3p	MERS-CoV	13249	13254	6mer	51
hsa-miR-1226-3p	MERS-CoV	17318	17323	6mer	51
hsa-miR-1226-3p	MERS-CoV	18339	18344	6mer	51
hsa-miR-1226-3p	MERS-CoV	2092	2097	6mer	51
hsa-miR-1226-3p	MERS-CoV	2569	2575	7mer-1a	51
hsa-miR-1226-3p	MERS-CoV	291	297	7mer-m8	51
hsa-miR-1226-3p	MERS-CoV	3747	3753	7mer-m8	51
hsa-miR-1226-3p	MERS-CoV	8814	8820	7mer-m8	51
hsa-miR-1226-3p	MERS-CoV	9274	9279	6mer	51
hsa-miR-1226-3p	MERS-CoV	9883	9888	6mer	51
hsa-miR-1226-5p	MERS-CoV	1204	1210	7mer-1a	50
hsa-miR-1226-5p	MERS-CoV	21629	21635	7mer-1a	50
hsa-miR-1226-5p	MERS-CoV	26716	26722	7mer-1a	50
hsa-miR-1226-5p	MERS-CoV	5169	5175	7mer-m8	50
hsa-miR-1226-5p	MERS-CoV	8223	8228	6mer	50
hsa-miR-1227-3p	MERS-CoV	10757	10762	6mer	59
hsa-miR-1227-3p	MERS-CoV	15337	15342	6mer	59
hsa-miR-1227-3p	MERS-CoV	17059	17064	6mer	59
hsa-miR-1227-3p	MERS-CoV	18303	18309	7mer-m8	59
hsa-miR-1227-3p	MERS-CoV	21836	21841	6mer	59
hsa-miR-1227-3p	MERS-CoV	21982	21988	7mer-m8	59
hsa-miR-1227-3p	MERS-CoV	22625	22631	7mer-1a	59
hsa-miR-1227-3p	MERS-CoV	25423	25430	8mer-1a	59
hsa-miR-1227-3p	MERS-CoV	25959	25964	6mer	59
hsa-miR-1227-3p	MERS-CoV	5603	5608	6mer	59
hsa-miR-1227-3p	MERS-CoV	629	635	7mer-1a	59
hsa-miR-1227-3p	MERS-CoV	8614	8619	6mer	59
hsa-miR-1227-5p	MERS-CoV	11422	11427	6mer	68
hsa-miR-1227-5p	MERS-CoV	13095	13100	6mer	68
hsa-miR-1227-5p	MERS-CoV	13403	13409	7mer-1a	68
hsa-miR-1227-5p	MERS-CoV	23209	23215	7mer-1a	68
hsa-miR-1227-5p	MERS-CoV	29443	29450	8mer-1a	68
hsa-miR-1236-5p	MERS-CoV	14082	14088	7mer-1a	81
hsa-miR-1236-5p	MERS-CoV	15314	15320	7mer-1a	81
hsa-miR-1236-5p	MERS-CoV	1683	1690	8mer-1a	81
hsa-miR-1236-5p	MERS-CoV	16894	16899	6mer	81
hsa-miR-1236-5p	MERS-CoV	17901	17906	6mer	81
hsa-miR-1236-5p	MERS-CoV	25571	25576	6mer	81
hsa-miR-1236-5p	MERS-CoV	29740	29746	7mer-1a	81
hsa-miR-1236-5p	MERS-CoV	29809	29816	8mer-1a	81
hsa-miR-1236-5p	MERS-CoV	3966	3972	7mer-m8	81
hsa-miR-1236-5p	MERS-CoV	861	867	7mer-m8	81
hsa-miR-1237-3p	MERS-CoV	12180	12186	7mer-m8	50
hsa-miR-1237-3p	MERS-CoV	12214	12220	7mer-1a	50
hsa-miR-1237-3p	MERS-CoV	17598	17604	7mer-1a	50
hsa-miR-1237-3p	MERS-CoV	24513	24519	7mer-m8	50
hsa-miR-1237-3p	MERS-CoV	29653	29659	7mer-1a	50
hsa-miR-1237-3p	MERS-CoV	3215	3220	6mer	50
hsa-miR-1238-5p	MERS-CoV	10760	10766	7mer-1a	77
hsa-miR-4758-5p	MERS-CoV	10760	10766	7mer-1a	75
hsa-miR-1238-5p	MERS-CoV	11452	11457	6mer	77
hsa-miR-4758-5p	MERS-CoV	11452	11457	6mer	75
hsa-miR-1238-5p	MERS-CoV	14083	14089	7mer-1a	77
hsa-miR-4758-5p	MERS-CoV	14083	14089	7mer-1a	75
hsa-miR-1238-5p	MERS-CoV	14201	14207	7mer-m8	77
hsa-miR-4758-5p	MERS-CoV	14201	14207	7mer-m8	75
hsa-miR-1238-5p	MERS-CoV	15315	15320	6mer	77
hsa-miR-4758-5p	MERS-CoV	15315	15320	6mer	75
hsa-miR-1238-5p	MERS-CoV	15969	15974	6mer	77
hsa-miR-4758-5p	MERS-CoV	15969	15974	6mer	75
hsa-miR-1238-5p	MERS-CoV	16592	16599	8mer-1a	77
hsa-miR-4758-5p	MERS-CoV	16592	16599	8mer-1a	75
hsa-miR-1238-5p	MERS-CoV	16730	16737	8mer-1a	77
hsa-miR-4758-5p	MERS-CoV	16730	16737	8mer-1a	75
hsa-miR-1238-5p	MERS-CoV	1685	1691	7mer-1a	77
hsa-miR-4758-5p	MERS-CoV	1685	1691	7mer-1a	75
hsa-miR-1238-5p	MERS-CoV	17793	17799	7mer-m8	77
hsa-miR-4758-5p	MERS-CoV	17793	17799	7mer-m8	75
hsa-miR-1238-5p	MERS-CoV	20146	20151	6mer	77
hsa-miR-4758-5p	MERS-CoV	20146	20151	6mer	75
hsa-miR-1238-5p	MERS-CoV	21462	21467	6mer	77
hsa-miR-4758-5p	MERS-CoV	21462	21467	6mer	75
hsa-miR-1238-5p	MERS-CoV	26131	26137	7mer-1a	77
hsa-miR-4758-5p	MERS-CoV	26131	26137	7mer-1a	75
hsa-miR-1238-5p	MERS-CoV	26318	26323	6mer	77
hsa-miR-4758-5p	MERS-CoV	26318	26323	6mer	75
hsa-miR-1238-5p	MERS-CoV	29741	29746	6mer	77
hsa-miR-4758-5p	MERS-CoV	29741	29746	6mer	75
hsa-miR-1238-5p	MERS-CoV	29811	29817	7mer-1a	77
hsa-miR-4758-5p	MERS-CoV	29811	29817	7mer-1a	75
hsa-miR-1244	MERS-CoV	11040	11046	7mer-m8	57
hsa-miR-1244	MERS-CoV	11199	11204	6mer	57
hsa-miR-1244	MERS-CoV	21005	21011	7mer-1a	57
hsa-miR-1244	MERS-CoV	2113	2119	7mer-m8	57
hsa-miR-1244	MERS-CoV	22920	22926	7mer-1a	57
hsa-miR-1244	MERS-CoV	23394	23401	8mer-1a	57
hsa-miR-1244	MERS-CoV	23398	23403	6mer	57
hsa-miR-1244	MERS-CoV	25909	25914	6mer	57
hsa-miR-1244	MERS-CoV	2939	2944	6mer	57
hsa-miR-1244	MERS-CoV	7787	7794	8mer-1a	57
hsa-miR-1244	MERS-CoV	7791	7796	6mer	57
hsa-miR-1245b-3p	MERS-CoV	11839	11844	6mer	51
hsa-miR-1245b-3p	MERS-CoV	13516	13521	6mer	51
hsa-miR-1245b-3p	MERS-CoV	1392	1398	7mer-m8	51
hsa-miR-1245b-3p	MERS-CoV	21203	21210	8mer-1a	51
