Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Klf6	ENSMUST00000000080.6	Kruppel-like factor 6 	6715	2	0	0	2	1	mmu-miR-5099	-0.37	-0.37	< 0.1
Ascl1	ENSMUST00000020243.7	achaete-scute complex homolog 1 (Drosophila) 	7	2	0	1	1	0	mmu-miR-5099	-0.36	-0.36	< 0.1
Tmem158	ENSMUST00000068140.4	transmembrane protein 158 	5	1	0	1	0	0	mmu-miR-5099	-0.36	-0.36	< 0.1
I830077J02Rik	ENSMUST00000098758.2	RIKEN cDNA I830077J02 gene 	55	2	0	0	2	0	mmu-miR-5099	-0.36	-0.42	< 0.1
Tnfrsf13b	ENSMUST00000010286.2	tumor necrosis factor receptor superfamily, member 13b 	85	2	0	1	1	0	mmu-miR-5099	-0.36	-0.36	< 0.1
Slc25a51	ENSMUST00000107796.2	solute carrier family 25, member 51 	225	1	1	0	0	0	mmu-miR-5099	-0.36	-0.37	< 0.1
Prlr	ENSMUST00000124470.2	prolactin receptor 	195	2	1	0	1	0	mmu-miR-5099	-0.36	-0.37	< 0.1
Rtbdn	ENSMUST00000067472.8	retbindin 	5	1	0	0	1	1	mmu-miR-5099	-0.36	-0.36	< 0.1
Tank	ENSMUST00000112502.2	TRAF family member-associated Nf-kappa B activator 	2319	1	0	0	1	1	mmu-miR-5099	-0.35	-0.36	< 0.1
Nxnl1	ENSMUST00000163659.1	nucleoredoxin-like 1 	24	1	1	0	0	0	mmu-miR-5099	-0.33	-0.33	< 0.1
Smek2	ENSMUST00000020755.6	SMEK homolog 2, suppressor of mek1 (Dictyostelium) 	1618	2	0	0	2	1	mmu-miR-5099	-0.33	-0.36	< 0.1
Zfp622	ENSMUST00000061875.6	zinc finger protein 622 	1891	1	0	0	1	0	mmu-miR-5099	-0.33	-0.33	< 0.1
B230219D22Rik	ENSMUST00000057844.8	RIKEN cDNA B230219D22 gene 	3545	2	0	0	2	0	mmu-miR-5099	-0.32	-0.32	< 0.1
Msh6	ENSMUST00000005503.3	mutS homolog 6 (E. coli) 	122	1	0	0	1	0	mmu-miR-5099	-0.32	-0.34	< 0.1
Scgb2b11	ENSMUST00000188293.1	secretoglobin, family 2B, member 11 	5	1	0	0	1	0	mmu-miR-5099	-0.32	-0.32	< 0.1
Scgb2b18	ENSMUST00000186529.1	secretoglobin, family 2B, member 18 	5	1	0	0	1	0	mmu-miR-5099	-0.31	-0.31	< 0.1
Vamp2	ENSMUST00000117780.1	vesicle-associated membrane protein 2 	828	2	0	0	2	0	mmu-miR-5099	-0.31	-0.38	< 0.1
Frrs1l	ENSMUST00000053681.5	ferric-chelate reductase 1 like 	11	2	0	1	1	0	mmu-miR-5099	-0.31	-0.31	< 0.1
Cldn25	ENSMUST00000023426.6	claudin 25 	133	2	0	0	2	1	mmu-miR-5099	-0.31	-0.48	< 0.1
Prr32	ENSMUST00000040002.3	proline rich 32 	103	1	0	0	1	0	mmu-miR-5099	-0.31	-0.31	< 0.1
Wfdc5	ENSMUST00000045127.6	WAP four-disulfide core domain 5 	18	1	0	1	0	0	mmu-miR-5099	-0.31	-0.31	< 0.1
Cat	ENSMUST00000028610.4	catalase 	36321	1	0	0	1	2	mmu-miR-5099	-0.31	-0.32	< 0.1
Tbc1d30	ENSMUST00000064107.5	TBC1 domain family, member 30 	252	2	0	1	1	1	mmu-miR-5099	-0.30	-0.36	< 0.1
Itih5	ENSMUST00000026886.7	inter-alpha (globulin) inhibitor H5 	2023	1	1	0	0	2	mmu-miR-5099	-0.30	-0.34	< 0.1
Ppt1	ENSMUST00000030412.5	palmitoyl-protein thioesterase 1 	960	2	0	0	2	0	mmu-miR-5099	-0.30	-0.35	< 0.1
Dhodh	ENSMUST00000143900.2	dihydroorotate dehydrogenase 	444	1	0	0	1	0	mmu-miR-5099	-0.30	-0.30	< 0.1
Hist2h2bb	ENSMUST00000051089.3	histone cluster 2, H2bb 	14	1	1	0	0	0	mmu-miR-5099	-0.30	-0.49	< 0.1
Nxt2	ENSMUST00000112916.3	nuclear transport factor 2-like export factor 2 	128	1	0	1	0	1	mmu-miR-5099	-0.30	-0.30	< 0.1
Ccdc34	ENSMUST00000028580.6	coiled-coil domain containing 34 	1623	1	0	0	1	0	mmu-miR-5099	-0.30	-0.30	< 0.1
Ubr1	ENSMUST00000028728.5	ubiquitin protein ligase E3 component n-recognin 1 	244	2	0	0	2	1	mmu-miR-5099	-0.29	-0.32	< 0.1
Aplnr	ENSMUST00000057019.8	apelin receptor 	264	2	0	0	2	0	mmu-miR-5099	-0.29	-0.30	< 0.1
Slc17a1	ENSMUST00000006785.7	solute carrier family 17 (sodium phosphate), member 1 	5603	1	0	0	1	0	mmu-miR-5099	-0.29	-0.29	< 0.1
Cypt12	ENSMUST00000029080.3	cysteine-rich perinuclear theca 12 	5	1	0	0	1	0	mmu-miR-5099	-0.29	-0.29	< 0.1
Lim2	ENSMUST00000004732.5	lens intrinsic membrane protein 2 	5	1	0	0	1	0	mmu-miR-5099	-0.29	-0.29	< 0.1
Smim1	ENSMUST00000182191.2	small integral membrane protein 1 	940	1	0	1	0	0	mmu-miR-5099	-0.28	-0.28	< 0.1
Vmn2r79	ENSMUST00000164462.1	vomeronasal 2, receptor 79 	2	1	0	0	1	0	mmu-miR-5099	-0.28	-0.28	< 0.1
Podxl	ENSMUST00000026698.7	podocalyxin-like 	642	1	1	0	0	1	mmu-miR-5099	-0.28	-0.28	< 0.1
Cntf	ENSMUST00000112933.1	ciliary neurotrophic factor 	64	1	0	0	1	0	mmu-miR-5099	-0.28	-0.28	< 0.1
Chmp5	ENSMUST00000030128.5	charged multivesicular body protein 5 	2196	1	0	1	0	0	mmu-miR-5099	-0.28	-0.32	< 0.1
Fahd1	ENSMUST00000049642.4	fumarylacetoacetate hydrolase domain containing 1 	1146	1	0	0	1	0	mmu-miR-5099	-0.28	-0.28	< 0.1
Tmem56	ENSMUST00000128909.2	transmembrane protein 56 	253	2	0	0	2	0	mmu-miR-5099	-0.28	-0.37	< 0.1
Slc8b1	ENSMUST00000068326.8	solute carrier family 8 (sodium/lithium/calcium exchanger), member B1 	147	2	0	0	2	0	mmu-miR-5099	-0.28	-0.28	< 0.1
Chchd2	ENSMUST00000094280.3	coiled-coil-helix-coiled-coil-helix domain containing 2 	80	1	0	0	1	0	mmu-miR-5099	-0.27	-0.28	< 0.1
Dusp3	ENSMUST00000151678.2	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related) 	2085	1	0	1	0	0	mmu-miR-5099	-0.27	-0.28	< 0.1
Khdc1b	ENSMUST00000147615.1	KH domain containing 1B 	5	1	0	0	1	1	mmu-miR-5099	-0.27	-0.27	< 0.1
Tmem141	ENSMUST00000142087.1	transmembrane protein 141 	1435	1	0	0	1	0	mmu-miR-5099	-0.27	-0.27	< 0.1
Mtx3	ENSMUST00000076169.3	metaxin 3 	491	1	1	0	0	0	mmu-miR-5099	-0.27	-0.28	< 0.1
Cnot11	ENSMUST00000161515.2	CCR4-NOT transcription complex, subunit 11 	588	1	0	0	1	0	mmu-miR-5099	-0.27	-0.27	< 0.1
Rcn2	ENSMUST00000114276.2	reticulocalbin 2 	1705	1	0	0	1	0	mmu-miR-5099	-0.27	-0.27	< 0.1
Reg4	ENSMUST00000029469.4	regenerating islet-derived family, member 4 	5	1	0	0	1	0	mmu-miR-5099	-0.27	-0.27	< 0.1
Chic2	ENSMUST00000075452.5	cysteine-rich hydrophobic domain 2 	492	1	1	0	0	1	mmu-miR-5099	-0.27	-0.36	< 0.1
Cd36	ENSMUST00000082367.7	CD36 antigen 	28826	1	0	1	0	0	mmu-miR-5099	-0.27	-0.27	< 0.1
Esp31	ENSMUST00000174742.1	exocrine gland secreted peptide 31 	5	1	0	0	1	0	mmu-miR-5099	-0.27	-0.27	< 0.1
Rgag4	ENSMUST00000113631.1	retrotransposon gag domain containing 4 	29	2	0	0	2	0	mmu-miR-5099	-0.26	-0.26	< 0.1
Dppa2	ENSMUST00000097175.4	developmental pluripotency associated 2 	665	1	0	0	1	1	mmu-miR-5099	-0.26	-0.27	< 0.1
Gm17567	ENSMUST00000164429.1	predicted gene, 17567 	42	1	0	0	1	2	mmu-miR-5099	-0.26	-0.33	< 0.1
Kbtbd8	ENSMUST00000119582.1	kelch repeat and BTB (POZ) domain containing 8 	62	2	0	1	1	0	mmu-miR-5099	-0.26	-0.26	< 0.1
C1galt1c1	ENSMUST00000058265.7	C1GALT1-specific chaperone 1 	226	1	0	0	1	0	mmu-miR-5099	-0.26	-0.26	< 0.1
Gm9979	ENSMUST00000069457.1	predicted gene 9979 	5	1	0	0	1	1	mmu-miR-5099	-0.26	-0.26	< 0.1
Fbxo32	ENSMUST00000022986.6	F-box protein 32 	4268	2	1	0	1	1	mmu-miR-5099	-0.26	-0.30	< 0.1
Pnpla2	ENSMUST00000164016.2	patatin-like phospholipase domain containing 2 	18292	1	0	0	1	0	mmu-miR-5099	-0.26	-0.26	< 0.1
Lenep	ENSMUST00000057431.5	lens epithelial protein 	416	1	0	0	1	2	mmu-miR-5099	-0.26	-0.39	< 0.1
Hdac3	ENSMUST00000043498.7	histone deacetylase 3 	976	1	0	0	1	0	mmu-miR-5099	-0.26	-0.26	< 0.1
Vamp4	ENSMUST00000150040.2	vesicle-associated membrane protein 4 	805	1	0	0	1	0	mmu-miR-5099	-0.26	-0.28	< 0.1
Spopl	ENSMUST00000132484.1	speckle-type POZ protein-like 	543	1	1	0	0	1	mmu-miR-5099	-0.26	-0.40	< 0.1
Smad9	ENSMUST00000029371.2	SMAD family member 9 	117	2	0	0	2	1	mmu-miR-5099	-0.25	-0.29	< 0.1
Commd6	ENSMUST00000100339.3	COMM domain containing 6 	1422	1	0	0	1	0	mmu-miR-5099	-0.25	-0.27	< 0.1
Gm7489	ENSMUST00000100666.2	predicted gene 7489 	5	1	0	0	1	0	mmu-miR-5099	-0.25	-0.25	< 0.1
Gm11492	ENSMUST00000060360.5	predicted gene 11492 	5	1	0	0	1	0	mmu-miR-5099	-0.25	-0.25	< 0.1
Gm10545	ENSMUST00000097612.2	predicted gene 10545 	5	1	0	1	0	2	mmu-miR-5099	-0.25	-0.25	< 0.1
Kir3dl1	ENSMUST00000113105.2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1 	5	1	0	0	1	0	mmu-miR-5099	-0.25	-0.25	< 0.1
Kcnj10	ENSMUST00000056136.3	potassium inwardly-rectifying channel, subfamily J, member 10 	172	1	0	1	0	0	mmu-miR-5099	-0.25	-0.25	< 0.1
Pah	ENSMUST00000020241.9	phenylalanine hydroxylase 	17197	1	0	0	1	0	mmu-miR-5099	-0.25	-0.25	< 0.1
Ppp6r3	ENSMUST00000113997.3	protein phosphatase 6, regulatory subunit 3 	5638	1	0	0	1	1	mmu-miR-5099	-0.25	-0.25	< 0.1
Arhgef16	ENSMUST00000030898.6	Rho guanine nucleotide exchange factor (GEF) 16 	68	1	0	0	1	0	mmu-miR-5099	-0.25	-0.25	< 0.1
1810022K09Rik	ENSMUST00000186870.1	RIKEN cDNA 1810022K09 gene 	78	1	0	0	1	0	mmu-miR-5099	-0.25	-0.25	< 0.1
Usp25	ENSMUST00000023580.6	ubiquitin specific peptidase 25 	1925	1	0	1	0	0	mmu-miR-5099	-0.25	-0.34	< 0.1
Rnf39	ENSMUST00000040498.6	ring finger protein 39 	215	1	0	0	1	0	mmu-miR-5099	-0.25	-0.26	< 0.1
Atic	ENSMUST00000027384.5	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase 	540	1	0	0	1	1	mmu-miR-5099	-0.24	-0.25	< 0.1
Gsto1	ENSMUST00000026050.7	glutathione S-transferase omega 1 	3326	1	0	0	1	0	mmu-miR-5099	-0.24	-0.26	< 0.1
Inhba	ENSMUST00000164993.1	inhibin beta-A 	2084	2	0	0	2	2	mmu-miR-5099	-0.24	-0.25	< 0.1
Dnajb1	ENSMUST00000005620.8	DnaJ (Hsp40) homolog, subfamily B, member 1 	4591	1	0	0	1	0	mmu-miR-5099	-0.24	-0.26	< 0.1
Mettl7a2	ENSMUST00000176287.1	methyltransferase like 7A2 	1194	1	0	0	1	1	mmu-miR-5099	-0.24	-0.24	< 0.1
Ankrd32	ENSMUST00000151524.3	ankyrin repeat domain 32 	176	1	0	0	1	0	mmu-miR-5099	-0.24	-0.24	< 0.1
Mrpl40	ENSMUST00000023391.9	mitochondrial ribosomal protein L40 	704	1	0	0	1	0	mmu-miR-5099	-0.24	-0.24	< 0.1
Slmo2	ENSMUST00000016401.9	slowmo homolog 2 (Drosophila) 	2289	1	0	0	1	0	mmu-miR-5099	-0.24	-0.24	< 0.1
Prpf18	ENSMUST00000035721.8	PRP18 pre-mRNA processing factor 18 homolog (yeast) 	850	1	1	0	0	0	mmu-miR-5099	-0.24	-0.30	< 0.1
Zfp820	ENSMUST00000084141.4	zinc finger protein 820 	27	1	0	0	1	1	mmu-miR-5099	-0.24	-0.24	< 0.1
Ccr10	ENSMUST00000062759.3	chemokine (C-C motif) receptor 10 	18	1	0	0	1	0	mmu-miR-5099	-0.24	-0.24	< 0.1
Zfp719	ENSMUST00000058104.7	zinc finger protein 719 	547	1	0	0	1	0	mmu-miR-5099	-0.24	-0.24	< 0.1
Sgsm1	ENSMUST00000048112.7	small G protein signaling modulator 1 	165	1	1	0	0	0	mmu-miR-5099	-0.23	-0.23	< 0.1
Dnajc1	ENSMUST00000166495.2	DnaJ (Hsp40) homolog, subfamily C, member 1 	546	2	0	1	1	0	mmu-miR-5099	-0.23	-0.29	< 0.1
Psmc6	ENSMUST00000022380.7	proteasome (prosome, macropain) 26S subunit, ATPase, 6 	2365	1	0	1	0	0	mmu-miR-5099	-0.23	-0.31	< 0.1
Alyref2	ENSMUST00000081527.1	Aly/REF export factor 2 	175	1	0	0	1	0	mmu-miR-5099	-0.23	-0.23	< 0.1
Vbp1	ENSMUST00000033540.5	von Hippel-Lindau binding protein 1 	13205	1	0	0	1	0	mmu-miR-5099	-0.23	-0.23	< 0.1
Sema3a	ENSMUST00000030714.7	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A 	440	2	0	0	2	1	mmu-miR-5099	-0.23	-0.29	< 0.1
2310033P09Rik	ENSMUST00000020719.6	RIKEN cDNA 2310033P09 gene 	49	1	0	0	1	1	mmu-miR-5099	-0.23	-0.26	< 0.1
Rin3	ENSMUST00000056950.8	Ras and Rab interactor 3 	140	1	0	0	1	1	mmu-miR-5099	-0.23	-0.24	< 0.1
Parg	ENSMUST00000022470.9	poly (ADP-ribose) glycohydrolase 	1461	1	0	0	1	0	mmu-miR-5099	-0.23	-0.23	< 0.1
Lrrc55	ENSMUST00000111601.1	leucine rich repeat containing 55 	6	1	0	0	1	1	mmu-miR-5099	-0.23	-0.23	< 0.1
mt-Nd4l	ENSMUST00000084013.1	mitochondrially encoded NADH dehydrogenase 4L 	748388	1	0	0	1	0	mmu-miR-5099	-0.23	-0.23	< 0.1
Gm4841	ENSMUST00000090260.4	predicted gene 4841 	112	1	0	1	0	0	mmu-miR-5099	-0.23	-0.23	< 0.1
Mat2a	ENSMUST00000059472.8	methionine adenosyltransferase II, alpha 	204	1	0	0	1	1	mmu-miR-5099	-0.23	-0.25	< 0.1
Zfyve19	ENSMUST00000102519.4	zinc finger, FYVE domain containing 19 	535	1	0	0	1	0	mmu-miR-5099	-0.23	-0.23	< 0.1
Zfp322a	ENSMUST00000050101.3	zinc finger protein 322A 	431	2	0	0	2	0	mmu-miR-5099	-0.23	-0.37	< 0.1
Gm15440	ENSMUST00000110042.1	predicted gene 15440 	639	1	0	0	1	0	mmu-miR-5099	-0.23	-0.23	< 0.1
Nmnat1	ENSMUST00000119921.2	nicotinamide nucleotide adenylyltransferase 1 	400	1	0	0	1	1	mmu-miR-5099	-0.23	-0.23	< 0.1
D10Jhu81e	ENSMUST00000001242.7	DNA segment, Chr 10, Johns Hopkins University 81 expressed 	10647	1	0	0	1	0	mmu-miR-5099	-0.23	-0.23	< 0.1
Cry1	ENSMUST00000020227.9	cryptochrome 1 (photolyase-like) 	56	1	0	0	1	0	mmu-miR-5099	-0.23	-0.23	< 0.1
Ube2i	ENSMUST00000049911.10	ubiquitin-conjugating enzyme E2I 	87	1	0	0	1	0	mmu-miR-5099	-0.22	-0.22	< 0.1
Srrm3	ENSMUST00000144211.1	serine/arginine repetitive matrix 3 	10	2	0	0	2	0	mmu-miR-5099	-0.22	-0.22	< 0.1
Gm9925	ENSMUST00000066583.1	predicted gene 9925 	7	1	0	0	1	1	mmu-miR-5099	-0.22	-0.22	< 0.1
Sfr1	ENSMUST00000099353.4	SWI5 dependent recombination repair 1 	4220	1	0	0	1	1	mmu-miR-5099	-0.22	-0.25	< 0.1
H60c	ENSMUST00000170893.2	histocompatibility 60c 	5	1	0	0	1	1	mmu-miR-5099	-0.22	-0.22	< 0.1
Naip1	ENSMUST00000022142.5	NLR family, apoptosis inhibitory protein 1 	5	1	0	1	0	0	mmu-miR-5099	-0.22	-0.22	< 0.1
Kir3dl2	ENSMUST00000113108.2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2 	5	1	0	0	1	0	mmu-miR-5099	-0.22	-0.22	< 0.1
Slc2a13	ENSMUST00000109283.1	solute carrier family 2 (facilitated glucose transporter), member 13 	46	2	0	0	2	0	mmu-miR-5099	-0.22	-0.26	< 0.1
Mllt11	ENSMUST00000065482.5	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11 	2318	1	0	0	1	0	mmu-miR-5099	-0.22	-0.22	< 0.1
Iqgap2	ENSMUST00000068603.6	IQ motif containing GTPase activating protein 2 	485	1	0	0	1	1	mmu-miR-5099	-0.22	-0.24	< 0.1
Nxph1	ENSMUST00000160300.1	neurexophilin 1 	16	1	0	0	1	0	mmu-miR-5099	-0.22	-0.22	< 0.1
Cxcr5	ENSMUST00000179828.2	chemokine (C-X-C motif) receptor 5 	5	1	0	1	0	0	mmu-miR-5099	-0.22	-0.22	< 0.1
Magi2	ENSMUST00000101558.4	membrane associated guanylate kinase, WW and PDZ domain containing 2 	129	1	0	0	1	1	mmu-miR-5099	-0.21	-0.21	< 0.1
4930533K18Rik	ENSMUST00000058942.5	RIKEN cDNA 4930533K18 gene 	5	1	0	0	1	0	mmu-miR-5099	-0.21	-0.21	< 0.1
Lix1	ENSMUST00000115576.2	limb expression 1 homolog (chicken) 	43	1	0	0	1	1	mmu-miR-5099	-0.21	-0.21	< 0.1
Sdccag3	ENSMUST00000114100.4	serologically defined colon cancer antigen 3 	1287	1	0	0	1	0	mmu-miR-5099	-0.21	-0.23	< 0.1
Ly6d	ENSMUST00000040404.7	lymphocyte antigen 6 complex, locus D 	23	1	0	0	1	0	mmu-miR-5099	-0.21	-0.32	< 0.1
Btf3l4	ENSMUST00000102742.5	basic transcription factor 3-like 4 	440	1	0	0	1	1	mmu-miR-5099	-0.21	-0.21	< 0.1
Sult1d1	ENSMUST00000113314.2	sulfotransferase family 1D, member 1 	10529	1	0	0	1	1	mmu-miR-5099	-0.21	-0.26	< 0.1
S100a16	ENSMUST00000098910.2	S100 calcium binding protein A16 	2292	1	0	0	1	0	mmu-miR-5099	-0.21	-0.21	< 0.1
Fzd7	ENSMUST00000114246.3	frizzled homolog 7 (Drosophila) 	197	1	0	0	1	1	mmu-miR-5099	-0.21	-0.22	< 0.1
Pou1f1	ENSMUST00000004964.9	POU domain, class 1, transcription factor 1 	5	1	0	0	1	0	mmu-miR-5099	-0.21	-0.21	< 0.1
Ddx3y	ENSMUST00000091190.6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked 	375	1	0	0	1	2	mmu-miR-5099	-0.21	-0.25	< 0.1
Endod1	ENSMUST00000167549.1	endonuclease domain containing 1 	833	1	0	0	1	0	mmu-miR-5099	-0.21	-0.21	< 0.1
Rbms3	ENSMUST00000111773.4	RNA binding motif, single stranded interacting protein 	289	2	0	0	2	0	mmu-miR-5099	-0.21	-0.22	< 0.1
Prr16	ENSMUST00000116639.2	proline rich 16 	320	2	0	0	2	0	mmu-miR-5099	-0.21	-0.34	< 0.1
Slc25a10	ENSMUST00000026899.3	solute carrier family 25 (mitochondrial carrier, dicarboxylate transporter), member 10 	5401	1	0	0	1	0	mmu-miR-5099	-0.21	-0.21	< 0.1
Pdlim5	ENSMUST00000168967.3	PDZ and LIM domain 5 	17535	1	0	0	1	1	mmu-miR-5099	-0.21	-0.27	< 0.1
Spcs1	ENSMUST00000160342.2	signal peptidase complex subunit 1 homolog (S. cerevisiae) 	38	1	0	0	1	0	mmu-miR-5099	-0.21	-0.27	< 0.1
E130114P18Rik	ENSMUST00000107068.3	RIKEN cDNA E130114P18 gene 	6	1	0	0	1	0	mmu-miR-5099	-0.21	-0.21	< 0.1
Mettl7a1	ENSMUST00000067752.3	methyltransferase like 7A1 	8127	1	0	0	1	0	mmu-miR-5099	-0.21	-0.21	< 0.1
Uba2	ENSMUST00000102746.5	ubiquitin-like modifier activating enzyme 2 	3921	1	0	0	1	0	mmu-miR-5099	-0.21	-0.21	< 0.1
Diras2	ENSMUST00000057442.6	DIRAS family, GTP-binding RAS-like 2 	39	1	0	0	1	0	mmu-miR-5099	-0.21	-0.21	< 0.1
Dio1	ENSMUST00000082426.4	deiodinase, iodothyronine, type I 	25	1	0	0	1	0	mmu-miR-5099	-0.21	-0.21	< 0.1
Catsperg2	ENSMUST00000061193.3	catsper channel auxiliary subunit gamma 2 	5	1	0	0	1	0	mmu-miR-5099	-0.21	-0.21	< 0.1
Pip5k1b	ENSMUST00000025800.9	phosphatidylinositol-4-phosphate 5-kinase, type 1 beta 	14	1	0	0	1	0	mmu-miR-5099	-0.20	-0.21	< 0.1
Krcc1	ENSMUST00000168700.2	lysine-rich coiled-coil 1 	2532	1	0	0	1	0	mmu-miR-5099	-0.20	-0.20	< 0.1
Zfp874a	ENSMUST00000075255.5	zinc finger protein 874a 	12	1	0	0	1	0	mmu-miR-5099	-0.20	-0.20	< 0.1
Twf1	ENSMUST00000023087.7	twinfilin, actin-binding protein, homolog 1 (Drosophila) 	451	1	0	0	1	0	mmu-miR-5099	-0.20	-0.23	< 0.1
Ly6g6c	ENSMUST00000173478.1	lymphocyte antigen 6 complex, locus G6C 	12	1	0	0	1	0	mmu-miR-5099	-0.20	-0.20	< 0.1
Glt28d2	ENSMUST00000033643.5	glycosyltransferase 28 domain containing 2 	135	1	0	0	1	0	mmu-miR-5099	-0.20	-0.20	< 0.1
Nacc1	ENSMUST00000001975.4	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing 	503	1	0	1	0	0	mmu-miR-5099	-0.20	-0.20	< 0.1
Cdc27	ENSMUST00000093923.3	cell division cycle 27 	1040	1	0	0	1	1	mmu-miR-5099	-0.20	-0.23	< 0.1
Far1	ENSMUST00000033018.9	fatty acyl CoA reductase 1 	2040	1	0	0	1	0	mmu-miR-5099	-0.20	-0.20	< 0.1
Dpysl3	ENSMUST00000121805.2	dihydropyrimidinase-like 3 	340	1	0	0	1	0	mmu-miR-5099	-0.20	-0.20	< 0.1
Tsn	ENSMUST00000027623.8	translin 	587	1	0	0	1	0	mmu-miR-5099	-0.20	-0.21	< 0.1
Armc5	ENSMUST00000044660.5	armadillo repeat containing 5 	516	1	0	0	1	0	mmu-miR-5099	-0.20	-0.20	< 0.1
Lrrc4c	ENSMUST00000135431.2	leucine rich repeat containing 4C 	19	1	0	0	1	1	mmu-miR-5099	-0.20	-0.28	< 0.1
