Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Zrsr1	ENSMUST00000049506.6	zinc finger (CCCH type), RNA binding motif and serine/arginine rich 1 	945	1	1	0	0	0	mmu-miR-21a-3p	-0.49	-0.49	< 0.1
H2-M3	ENSMUST00000038580.6	histocompatibility 2, M region locus 3 	41	1	1	0	0	0	mmu-miR-21a-3p	-0.48	-0.48	< 0.1
Naa50	ENSMUST00000161326.2	N(alpha)-acetyltransferase 50, NatE catalytic subunit 	12928	2	2	0	0	1	mmu-miR-21a-3p	-0.48	-0.58	< 0.1
Zfr	ENSMUST00000122941.2	zinc finger RNA binding protein 	2038	1	0	0	1	2	mmu-miR-21a-3p	-0.48	-0.62	< 0.1
Mmp8	ENSMUST00000018765.2	matrix metallopeptidase 8 	14	2	1	0	1	1	mmu-miR-21a-3p	-0.48	-0.48	< 0.1
Ccdc18	ENSMUST00000047677.7	coiled-coil domain containing 18 	69	4	0	3	1	0	mmu-miR-21a-3p	-0.48	-0.65	< 0.1
Srgn	ENSMUST00000160987.2	serglycin 	262	1	1	0	0	5	mmu-miR-21a-3p	-0.47	-0.53	< 0.1
Col16a1	ENSMUST00000044565.9	collagen, type XVI, alpha 1 	970	1	1	0	0	0	mmu-miR-21a-3p	-0.47	-0.48	< 0.1
Six6	ENSMUST00000021519.6	sine oculis-related homeobox 6 	7	3	0	2	1	0	mmu-miR-21a-3p	-0.47	-0.47	< 0.1
Dppa1	ENSMUST00000077173.7	developmental pluripotency associated 1 	5	1	1	0	0	1	mmu-miR-21a-3p	-0.47	-0.47	< 0.1
Hist1h3b	ENSMUST00000091703.2	histone cluster 1, H3b 	26	3	1	0	2	0	mmu-miR-21a-3p	-0.47	-0.83	< 0.1
Hsd17b4	ENSMUST00000025385.6	hydroxysteroid (17-beta) dehydrogenase 4 	9710	1	1	0	0	0	mmu-miR-21a-3p	-0.46	-0.46	< 0.1
Stx6	ENSMUST00000027743.7	syntaxin 6 	155	2	1	1	0	0	mmu-miR-21a-3p	-0.46	-0.46	< 0.1
Atp6v0e2	ENSMUST00000040361.5	ATPase, H+ transporting, lysosomal V0 subunit E2 	563	2	1	1	0	3	mmu-miR-21a-3p	-0.46	-0.70	< 0.1
Snhg11	ENSMUST00000109488.2	small nucleolar RNA host gene 11 	826	2	1	1	0	3	mmu-miR-21a-3p	-0.46	-0.46	< 0.1
Hlf	ENSMUST00000004051.7	hepatic leukemia factor 	348	5	0	4	1	1	mmu-miR-21a-3p	-0.45	-0.63	< 0.1
Il19	ENSMUST00000187410.1	interleukin 19 	9	1	0	1	0	1	mmu-miR-21a-3p	-0.45	-0.45	< 0.1
Evx1	ENSMUST00000031787.7	even skipped homeotic gene 1 homolog 	5	1	1	0	0	1	mmu-miR-21a-3p	-0.45	-0.45	< 0.1
Agmo	ENSMUST00000049874.8	alkylglycerol monooxygenase 	672	2	0	2	0	1	mmu-miR-21a-3p	-0.45	-0.46	< 0.1
Car8	ENSMUST00000066674.7	carbonic anhydrase 8 	1355	3	2	1	0	2	mmu-miR-21a-3p	-0.45	-0.67	< 0.1
Cdh17	ENSMUST00000029871.6	cadherin 17 	5	2	1	0	1	2	mmu-miR-21a-3p	-0.45	-0.45	< 0.1
1810011O10Rik	ENSMUST00000052622.5	RIKEN cDNA 1810011O10 gene 	174	2	1	1	0	0	mmu-miR-21a-3p	-0.44	-0.53	< 0.1
Fam195b	ENSMUST00000034913.4	family with sequence similarity 195, member B 	244	1	1	0	0	1	mmu-miR-21a-3p	-0.44	-0.44	< 0.1
Npc2	ENSMUST00000021668.8	Niemann-Pick type C2 	16207	2	0	2	0	2	mmu-miR-21a-3p	-0.44	-0.46	< 0.1
Gimap1	ENSMUST00000054368.4	GTPase, IMAP family member 1 	8	1	1	0	0	0	mmu-miR-21a-3p	-0.44	-0.44	< 0.1
Polr1c	ENSMUST00000087026.7	polymerase (RNA) I polypeptide C 	8690	1	1	0	0	0	mmu-miR-21a-3p	-0.44	-0.44	< 0.1
Olfr443-ps1	ENSMUST00000163240.1	olfactory receptor 443, pseudogene 1 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.43	-0.43	< 0.1
Ccdc50	ENSMUST00000100026.4	coiled-coil domain containing 50 	4422	5	1	4	0	1	mmu-miR-21a-3p	-0.43	-0.46	< 0.1
Ankib1	ENSMUST00000043551.6	ankyrin repeat and IBR domain containing 1 	1535	3	2	1	0	0	mmu-miR-21a-3p	-0.43	-0.47	< 0.1
Nlgn1	ENSMUST00000108308.4	neuroligin 1 	5	2	1	1	0	1	mmu-miR-21a-3p	-0.43	-0.47	< 0.1
Pced1b	ENSMUST00000059433.6	PC-esterase domain containing 1B 	30	1	1	0	0	0	mmu-miR-21a-3p	-0.43	-0.43	< 0.1
Rdx	ENSMUST00000163153.2	radixin 	9130	4	1	3	0	2	mmu-miR-21a-3p	-0.43	-0.45	< 0.1
9230109A22Rik	ENSMUST00000056401.4	RIKEN cDNA 9230109A22 gene 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.42	-0.42	< 0.1
Dpm2	ENSMUST00000140592.2	dolichol-phosphate (beta-D) mannosyltransferase 2 	1452	1	1	0	0	1	mmu-miR-21a-3p	-0.42	-0.42	< 0.1
Gm21761	ENSMUST00000187530.1	predicted gene, 21761 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.42	-0.42	< 0.1
Top2a	ENSMUST00000068031.7	topoisomerase (DNA) II alpha 	1061	2	1	1	0	0	mmu-miR-21a-3p	-0.42	-0.42	< 0.1
Gm648	ENSMUST00000081133.4	predicted gene 648 	7	1	1	0	0	0	mmu-miR-21a-3p	-0.42	-0.42	< 0.1
Galnt1	ENSMUST00000000430.8	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 	1815	3	1	2	0	1	mmu-miR-21a-3p	-0.42	-0.44	< 0.1
Rbmx2	ENSMUST00000033433.2	RNA binding motif protein, X-linked 2 	8	1	1	0	0	0	mmu-miR-21a-3p	-0.42	-0.42	< 0.1
Cd226	ENSMUST00000037142.6	CD226 antigen 	44	3	2	1	0	1	mmu-miR-21a-3p	-0.42	-0.54	< 0.1
6430573F11Rik	ENSMUST00000135373.2	RIKEN cDNA 6430573F11 gene 	43	2	1	0	1	1	mmu-miR-21a-3p	-0.42	-0.53	< 0.1
Wif1	ENSMUST00000020439.5	Wnt inhibitory factor 1 	137	2	1	1	0	0	mmu-miR-21a-3p	-0.42	-0.42	< 0.1
Gimap4	ENSMUST00000090070.5	GTPase, IMAP family member 4 	775	1	1	0	0	0	mmu-miR-21a-3p	-0.42	-0.42	< 0.1
Rragb	ENSMUST00000039720.5	Ras-related GTP binding B 	103	1	1	0	0	0	mmu-miR-21a-3p	-0.42	-0.44	< 0.1
Zfp868	ENSMUST00000121886.2	zinc finger protein 868 	495	1	1	0	0	0	mmu-miR-21a-3p	-0.41	-0.42	< 0.1
Hoxa5	ENSMUST00000048794.6	homeobox A5 	278	2	0	1	1	1	mmu-miR-21a-3p	-0.41	-0.42	< 0.1
Tcstv1	ENSMUST00000190512.1	2-cell-stage, variable group, member 1 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.41	-0.41	< 0.1
Glrx	ENSMUST00000022082.7	glutaredoxin 	2647	3	0	3	0	0	mmu-miR-21a-3p	-0.41	-0.43	< 0.1
Smco3	ENSMUST00000068293.3	single-pass membrane protein with coiled-coil domains 3 	13	1	1	0	0	0	mmu-miR-21a-3p	-0.41	-0.41	< 0.1
Socs2	ENSMUST00000020215.10	suppressor of cytokine signaling 2 	3023	2	1	1	0	0	mmu-miR-21a-3p	-0.41	-0.43	< 0.1
Zscan4d	ENSMUST00000067210.5	zinc finger and SCAN domain containing 4D 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.41	-0.41	< 0.1
Dffa	ENSMUST00000030816.3	DNA fragmentation factor, alpha subunit 	226	3	1	1	1	2	mmu-miR-21a-3p	-0.41	-0.57	< 0.1
Vps35	ENSMUST00000034131.8	vacuolar protein sorting 35 	1499	1	1	0	0	0	mmu-miR-21a-3p	-0.41	-0.42	< 0.1
Edil3	ENSMUST00000081769.7	EGF-like repeats and discoidin I-like domains 3 	367	2	1	1	0	1	mmu-miR-21a-3p	-0.40	-0.41	< 0.1
Efcab5	ENSMUST00000108400.2	EF-hand calcium binding domain 5 	13	1	1	0	0	1	mmu-miR-21a-3p	-0.40	-0.40	< 0.1
Rpp25	ENSMUST00000080514.7	ribonuclease P/MRP 25 subunit 	28	1	1	0	0	0	mmu-miR-21a-3p	-0.40	-0.40	< 0.1
Zscan4c	ENSMUST00000131379.2	zinc finger and SCAN domain containing 4C 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.40	-0.40	< 0.1
AF366264	ENSMUST00000071308.4	cDNA sequence AF366264 	5	2	1	1	0	0	mmu-miR-21a-3p	-0.40	-0.40	< 0.1
Pdgfrb	ENSMUST00000025522.5	platelet derived growth factor receptor, beta polypeptide 	1178	2	2	0	0	1	mmu-miR-21a-3p	-0.40	-0.40	< 0.1
Hyal4	ENSMUST00000031691.2	hyaluronoglucosaminidase 4 	5	1	1	0	0	1	mmu-miR-21a-3p	-0.40	-0.40	< 0.1
Gm2016	ENSMUST00000110147.2	predicted gene 2016 	5	2	0	0	2	0	mmu-miR-21a-3p	-0.40	-0.40	< 0.1
Gpr37l1	ENSMUST00000027682.8	G protein-coupled receptor 37-like 1 	10	2	0	2	0	0	mmu-miR-21a-3p	-0.40	-0.40	< 0.1
Foxd4	ENSMUST00000058600.2	forkhead box D4 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.40	-0.40	< 0.1
Gm20767	ENSMUST00000179071.1	predicted gene, 20767 	0	1	1	0	0	0	mmu-miR-21a-3p	-0.40	-0.40	< 0.1
Sacs	ENSMUST00000119943.2	sacsin 	66	1	1	0	0	0	mmu-miR-21a-3p	-0.40	-0.40	< 0.1
Serpini1	ENSMUST00000029423.8	serine (or cysteine) peptidase inhibitor, clade I, member 1 	174	3	0	2	1	1	mmu-miR-21a-3p	-0.39	-0.56	< 0.1
Zscan4f	ENSMUST00000091440.2	zinc finger and SCAN domain containing 4F 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.39	-0.39	< 0.1
BC147527	ENSMUST00000081558.7	cDNA sequence BC147527 	0	1	1	0	0	0	mmu-miR-21a-3p	-0.39	-0.39	< 0.1
Trim68	ENSMUST00000082175.5	tripartite motif-containing 68 	282	1	1	0	0	0	mmu-miR-21a-3p	-0.39	-0.39	< 0.1
Entpd5	ENSMUST00000021662.6	ectonucleoside triphosphate diphosphohydrolase 5 	2418	3	1	0	2	1	mmu-miR-21a-3p	-0.39	-0.59	< 0.1
B020031M17Rik	ENSMUST00000180768.1	RIKEN cDNA B020031M17 gene 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.39	-0.39	< 0.1
Serpinb9c	ENSMUST00000021837.4	serine (or cysteine) peptidase inhibitor, clade B, member 9c 	5	2	0	1	1	0	mmu-miR-21a-3p	-0.39	-0.39	< 0.1
Hoxb7	ENSMUST00000049352.7	homeobox B7 	39	2	0	2	0	0	mmu-miR-21a-3p	-0.39	-0.39	< 0.1
Osmr	ENSMUST00000022746.7	oncostatin M receptor 	339	3	0	1	2	0	mmu-miR-21a-3p	-0.39	-0.39	< 0.1
Zscan12	ENSMUST00000053293.7	zinc finger and SCAN domain containing 12 	585	2	1	0	1	0	mmu-miR-21a-3p	-0.39	-0.43	< 0.1
Gm7347	ENSMUST00000095004.3	predicted gene 7347 	5	3	0	2	1	0	mmu-miR-21a-3p	-0.39	-0.39	< 0.1
Yaf2	ENSMUST00000080299.6	YY1 associated factor 2 	1098	2	2	0	0	2	mmu-miR-21a-3p	-0.38	-0.50	< 0.1
Fgf20	ENSMUST00000034014.8	fibroblast growth factor 20 	7	1	1	0	0	0	mmu-miR-21a-3p	-0.38	-0.38	< 0.1
Dact1	ENSMUST00000061273.6	dapper homolog 1, antagonist of beta-catenin (xenopus) 	499	1	1	0	0	1	mmu-miR-21a-3p	-0.38	-0.40	< 0.1
Gm5662	ENSMUST00000101168.3	predicted gene 5662 	5	2	0	0	2	0	mmu-miR-21a-3p	-0.38	-0.38	< 0.1
Gnb4	ENSMUST00000155737.2	guanine nucleotide binding protein (G protein), beta 4 	442	3	1	2	0	1	mmu-miR-21a-3p	-0.38	-0.58	< 0.1
Gdf7	ENSMUST00000037313.4	growth differentiation factor 7 	0	2	0	1	1	4	mmu-miR-21a-3p	-0.38	-0.38	< 0.1
Spint2	ENSMUST00000098604.5	serine protease inhibitor, Kunitz type 2 	1574	2	0	2	0	0	mmu-miR-21a-3p	-0.38	-0.38	< 0.1
Gm10471	ENSMUST00000094946.4	predicted gene 10471 	5	4	0	4	0	0	mmu-miR-21a-3p	-0.38	-0.38	< 0.1
Zfp81	ENSMUST00000054072.8	zinc finger protein 81 	290	3	1	1	1	1	mmu-miR-21a-3p	-0.38	-0.41	< 0.1
Impa1	ENSMUST00000065938.9	inositol (myo)-1(or 4)-monophosphatase 1 	2716	1	1	0	0	0	mmu-miR-21a-3p	-0.38	-0.52	< 0.1
Alox12	ENSMUST00000000329.3	arachidonate 12-lipoxygenase 	69	1	1	0	0	0	mmu-miR-21a-3p	-0.38	-0.38	< 0.1
Gm7361	ENSMUST00000074148.6	predicted gene 7361 	5	3	0	3	0	0	mmu-miR-21a-3p	-0.38	-0.38	< 0.1
Ptger2	ENSMUST00000046891.5	prostaglandin E receptor 2 (subtype EP2) 	25	2	1	0	1	1	mmu-miR-21a-3p	-0.38	-0.49	< 0.1
Fbxl21	ENSMUST00000121871.2	F-box and leucine-rich repeat protein 21 	57	5	0	4	1	1	mmu-miR-21a-3p	-0.37	-0.43	< 0.1
Atp6ap1	ENSMUST00000114171.4	ATPase, H+ transporting, lysosomal accessory protein 1 	3005	2	0	1	1	0	mmu-miR-21a-3p	-0.37	-0.37	< 0.1
Phf11b	ENSMUST00000166121.3	PHD finger protein 11B 	8	1	1	0	0	0	mmu-miR-21a-3p	-0.37	-0.49	< 0.1
Mis12	ENSMUST00000048807.6	MIS12 homolog (yeast) 	309	1	1	0	0	0	mmu-miR-21a-3p	-0.37	-0.37	< 0.1
Olfr389	ENSMUST00000122224.2	olfactory receptor 389 	4	4	1	3	0	1	mmu-miR-21a-3p	-0.37	-0.37	< 0.1
Klhl4	ENSMUST00000113371.2	kelch-like 4 	111	2	1	1	0	0	mmu-miR-21a-3p	-0.37	-0.37	< 0.1
Atad1	ENSMUST00000070210.4	ATPase family, AAA domain containing 1 	2179	2	1	0	1	0	mmu-miR-21a-3p	-0.37	-0.48	< 0.1
Zfp2	ENSMUST00000109129.2	zinc finger protein 2 	89	2	0	2	0	0	mmu-miR-21a-3p	-0.37	-0.38	< 0.1
Mesdc2	ENSMUST00000094215.4	mesoderm development candidate 2 	2852	3	0	3	0	1	mmu-miR-21a-3p	-0.37	-0.56	< 0.1
Cldn12	ENSMUST00000179804.2	claudin 12 	308	2	0	1	1	3	mmu-miR-21a-3p	-0.37	-0.39	< 0.1
Necap1	ENSMUST00000032477.4	NECAP endocytosis associated 1 	66	2	1	1	0	0	mmu-miR-21a-3p	-0.37	-0.37	< 0.1
Tle4	ENSMUST00000052011.8	transducin-like enhancer of split 4, homolog of Drosophila E(spl) 	2085	1	1	0	0	3	mmu-miR-21a-3p	-0.37	-0.39	< 0.1
Naa40	ENSMUST00000025675.9	N(alpha)-acetyltransferase 40, NatD catalytic subunit, homolog (S. cerevisiae) 	826	2	1	1	0	2	mmu-miR-21a-3p	-0.37	-0.39	< 0.1
Rab38	ENSMUST00000107256.2	RAB38, member RAS oncogene family 	77	3	0	2	1	0	mmu-miR-21a-3p	-0.37	-0.69	< 0.1
Frs2	ENSMUST00000020381.3	fibroblast growth factor receptor substrate 2 	1348	5	1	3	1	0	mmu-miR-21a-3p	-0.37	-0.37	< 0.1
Vapa	ENSMUST00000024897.8	vesicle-associated membrane protein, associated protein A 	1889	2	1	1	0	0	mmu-miR-21a-3p	-0.36	-0.75	< 0.1
Fzd6	ENSMUST00000179165.2	frizzled homolog 6 (Drosophila) 	44	2	1	0	1	0	mmu-miR-21a-3p	-0.36	-0.36	< 0.1
Timp3	ENSMUST00000020234.8	tissue inhibitor of metalloproteinase 3 	10779	1	1	0	0	2	mmu-miR-21a-3p	-0.36	-0.37	< 0.1
Krit1	ENSMUST00000171023.2	KRIT1, ankyrin repeat containing 	1056	2	1	1	0	1	mmu-miR-21a-3p	-0.36	-0.43	< 0.1
Dcun1d4	ENSMUST00000063882.6	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae) 	353	1	0	1	0	2	mmu-miR-21a-3p	-0.36	-0.37	< 0.1
Atl3	ENSMUST00000170373.2	atlastin GTPase 3 	6920	2	1	1	0	2	mmu-miR-21a-3p	-0.36	-0.43	< 0.1
Speer4a	ENSMUST00000079447.2	spermatogenesis associated glutamate (E)-rich protein 4a 	5	3	0	3	0	0	mmu-miR-21a-3p	-0.36	-0.36	< 0.1
Zfpm2	ENSMUST00000053467.4	zinc finger protein, multitype 2 	221	2	1	1	0	1	mmu-miR-21a-3p	-0.36	-0.36	< 0.1
Nkx2-1	ENSMUST00000178477.3	NK2 homeobox 1 	100	2	1	1	0	1	mmu-miR-21a-3p	-0.36	-0.38	< 0.1
9530068E07Rik	ENSMUST00000109057.2	RIKEN cDNA 9530068E07 gene 	361	2	0	2	0	0	mmu-miR-21a-3p	-0.36	-0.39	< 0.1
Txndc12	ENSMUST00000030296.8	thioredoxin domain containing 12 (endoplasmic reticulum) 	1378	1	1	0	0	0	mmu-miR-21a-3p	-0.36	-0.36	< 0.1
AF067061	ENSMUST00000181748.1	cDNA sequence AF067061 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.36	-0.36	< 0.1
Gm9990	ENSMUST00000070021.1	predicted gene 9990 	8	2	0	0	2	1	mmu-miR-21a-3p	-0.36	-0.36	< 0.1
4930503L19Rik	ENSMUST00000067556.3	RIKEN cDNA 4930503L19 gene 	850	2	1	1	0	0	mmu-miR-21a-3p	-0.36	-0.36	< 0.1
Eif1a	ENSMUST00000078079.4	eukaryotic translation initiation factor 1A 	1849	2	0	1	1	1	mmu-miR-21a-3p	-0.35	-0.56	< 0.1
Scoc	ENSMUST00000081506.4	short coiled-coil protein 	7	1	0	1	0	1	mmu-miR-21a-3p	-0.35	-0.35	< 0.1
4931406P16Rik	ENSMUST00000108074.2	RIKEN cDNA 4931406P16 gene 	1173	1	0	1	0	4	mmu-miR-21a-3p	-0.35	-0.39	< 0.1
Rab14	ENSMUST00000113025.1	RAB14, member RAS oncogene family 	6563	2	1	1	0	1	mmu-miR-21a-3p	-0.35	-0.38	< 0.1
Atp6v1g1	ENSMUST00000035301.6	ATPase, H+ transporting, lysosomal V1 subunit G1 	94	2	1	1	0	1	mmu-miR-21a-3p	-0.35	-0.37	< 0.1
Lax1	ENSMUST00000169295.2	lymphocyte transmembrane adaptor 1 	6	1	1	0	0	1	mmu-miR-21a-3p	-0.35	-0.35	< 0.1
Lgr4	ENSMUST00000046548.8	leucine-rich repeat-containing G protein-coupled receptor 4 	3539	2	0	0	2	1	mmu-miR-21a-3p	-0.35	-0.35	< 0.1
1700025G04Rik	ENSMUST00000044581.8	RIKEN cDNA 1700025G04 gene 	289	2	0	2	0	1	mmu-miR-21a-3p	-0.35	-0.45	< 0.1
Ikbkap	ENSMUST00000030140.2	inhibitor of kappa light polypeptide enhancer in B cells, kinase complex-associated protein 	4812	4	0	3	1	3	mmu-miR-21a-3p	-0.35	-0.46	< 0.1
Mbd3l2	ENSMUST00000051008.8	methyl-CpG binding domain protein 3-like 2 	5	1	1	0	0	0	mmu-miR-21a-3p	-0.35	-0.35	< 0.1
Ermn	ENSMUST00000090940.5	ermin, ERM-like protein 	5	1	1	0	0	1	mmu-miR-21a-3p	-0.35	-0.35	< 0.1
Cfi	ENSMUST00000077918.5	complement component factor i 	8499	1	0	1	0	0	mmu-miR-21a-3p	-0.35	-0.35	< 0.1
1110034G24Rik	ENSMUST00000061891.5	RIKEN cDNA 1110034G24 gene 	277	2	0	1	1	0	mmu-miR-21a-3p	-0.35	-0.35	< 0.1
Tbc1d10b	ENSMUST00000120705.1	TBC1 domain family, member 10b 	1010	1	1	0	0	1	mmu-miR-21a-3p	-0.35	-0.35	< 0.1
Bmi1	ENSMUST00000028071.7	Bmi1 polycomb ring finger oncogene 	869	2	1	1	0	0	mmu-miR-21a-3p	-0.35	-0.47	< 0.1
